id,start_date,mean,num_list_users,nsfw,media_type,num_episodes,rating,title,picture,prequel,genre1,genre2,genre3,genre4,genre5
31988,2016-10-06,8.31,223919,white,tv,13,pg_13,Sound! Euphonium 2,https://cdn.myanimelist.net/images/anime/10/81155l.jpg,True,Drama,Music,Performing Arts,School,
40938,2021-04-05,7.28,596316,white,tv,13,pg_13,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",https://cdn.myanimelist.net/images/anime/1146/113477l.jpg,False,Drama,Romance,,,
11617,2012-01-06,7.33,1406961,white,tv,12,r+,High School DxD,https://cdn.myanimelist.net/images/anime/1331/111940l.jpg,False,Action,Comedy,Ecchi,Fantasy,Harem
24703,2015-04-04,7.42,790327,white,tv,12,r+,High School DxD BorN,https://cdn.myanimelist.net/images/anime/12/73642l.jpg,True,Action,Comedy,Ecchi,Fantasy,Harem
15451,2013-07-07,7.48,902255,white,tv,12,r+,High School DxD New,https://cdn.myanimelist.net/images/anime/12/47729l.jpg,True,Action,Comedy,Ecchi,Fantasy,Harem
8074,2010-07-05,7.07,1488628,white,tv,12,r+,High School of the Dead,https://cdn.myanimelist.net/images/anime/11/78311l.jpg,False,Action,Ecchi,Gore,Horror,Shounen
15059,2012-11-04,8.1,146224,white,tv,14,pg_13,Initial D Fifth Stage,https://cdn.myanimelist.net/images/anime/1563/119898l.jpg,True,Action,Drama,Racing,Seinen,
22507,2014-05-16,8.29,140194,white,tv,4,pg_13,Initial D Final Stage,https://cdn.myanimelist.net/images/anime/1404/101364l.jpg,True,Racing,Seinen,,,
185,1998-04-19,8.34,373776,white,tv,26,pg_13,Initial D First Stage,https://cdn.myanimelist.net/images/anime/1384/127972l.jpg,False,Action,Drama,Racing,Seinen,
18,2004-04-17,8.16,183369,white,tv,24,pg_13,Initial D Fourth Stage,https://cdn.myanimelist.net/images/anime/9/10521l.jpg,True,Action,Drama,Racing,Seinen,
186,1999-10-15,8.17,214608,white,tv,13,pg_13,Initial D Second Stage,https://cdn.myanimelist.net/images/anime/8/12750l.jpg,True,Action,Drama,Racing,Seinen,
187,2001-01-13,7.9,177475,white,movie,1,pg_13,Initial D Third Stage,https://cdn.myanimelist.net/images/anime/13/40397l.jpg,True,Action,Drama,Racing,Romance,Seinen
9041,2011-01-07,6.62,632483,white,tv,12,pg_13,Infinite Stratos,https://cdn.myanimelist.net/images/anime/3/74045l.jpg,False,Action,Comedy,Ecchi,Harem,Mecha
18247,2013-10-04,6.46,388670,white,tv,12,pg_13,Infinite Stratos 2,https://cdn.myanimelist.net/images/anime/12/49359l.jpg,True,Action,Comedy,Ecchi,Harem,Mecha
5680,2009-04-03,7.86,1038467,white,tv,13,pg_13,K-ON!,https://cdn.myanimelist.net/images/anime/10/76120l.jpg,False,CGDCT,Comedy,Music,School,
9617,2011-12-03,8.35,325608,white,movie,1,pg_13,K-ON! The Movie,https://cdn.myanimelist.net/images/anime/5/76233l.jpg,False,Award Winning,CGDCT,Comedy,Music,
7791,2010-04-07,8.17,685870,white,tv,26,pg_13,K-ON! Season 2,https://cdn.myanimelist.net/images/anime/12/76121l.jpg,True,Award Winning,CGDCT,Comedy,Music,School
40716,2020-04-02,7.98,324415,white,tv,12,pg_13,Kakushigoto,https://cdn.myanimelist.net/images/anime/1048/128385l.jpg,False,Childcare,Comedy,Gag Humor,Otaku Culture,Shounen
36407,2019-04-10,6.62,576154,white,tv,12,pg_13,Wise Man's Grandchild,https://cdn.myanimelist.net/images/anime/1261/100452l.jpg,False,Action,Comedy,Fantasy,Isekai,Reincarnation
31251,2015-10-04,8.05,239106,white,tv,25,r,Mobile Suit Gundam: Iron-Blooded Orphans,https://cdn.myanimelist.net/images/anime/6/75879l.jpg,False,Action,Drama,Mecha,Sci-Fi,Space
6045,2009-10-07,8.01,926842,white,tv,25,pg_13,Kimi ni Todoke: From Me to You,https://cdn.myanimelist.net/images/anime/1502/124384l.jpg,False,Drama,Romance,School,Shoujo,
28851,2016-09-17,8.93,2276850,white,movie,1,pg_13,A Silent Voice,https://cdn.myanimelist.net/images/anime/1122/96435l.jpg,False,Award Winning,Drama,Romantic Subtext,Shounen,
50631,2022-04-07,8.05,462787,white,tv,12,pg_13,Komi Can't Communicate Season 2,https://cdn.myanimelist.net/images/anime/1108/121157l.jpg,True,Comedy,Romantic Subtext,School,Shounen,
38080,2019-04-07,7.93,298106,white,tv,13,pg_13,Kono Oto Tomare!: Sounds of Life,https://cdn.myanimelist.net/images/anime/1464/99881l.jpg,False,Drama,Music,Performing Arts,Romance,School
