id,start_date,end_date,mean,num_list_users,nsfw,media_type,num_episodes,rating,title,prequel,related,genre1,genre2,genre3,genre4,genre5,picture
12187,2011-11-26,,7.46,49275,white,ova,1,pg_13,Carnival Phantasm EX Season,False,10012,Comedy,Supernatural,,,,https://cdn.myanimelist.net/images/anime/4/64281l.jpg
33975,2016-10-03,,4.69,2588,white,tv,13,pg,The Glass Mask Year 3 Class D,False,1974 35070,Comedy,Parody,School,Shoujo,,https://cdn.myanimelist.net/images/anime/7/85641l.jpg
12189,2012-04-23,,8.06,1379135,white,tv,22,pg_13,Hyouka,False,13469,Mystery,School,Slice of Life,,,https://cdn.myanimelist.net/images/anime/13/50521l.jpg
12191,2012-02-05,,6.81,45532,white,tv,48,g,Glitter Force,False,603 1534 1929 1932 3692 5684 7645 9893 12221 15307 16419 16442 21407 28669 31884 34290 34302 36593 38578 40610 44191 50281 53716 57390,Action,Fantasy,Mahou Shoujo,,,https://cdn.myanimelist.net/images/anime/12/76179l.jpg
4095,1991,,6.23,5648,white,movie,1,g,Chuumon no Ooi Ryouriten (1991),False,7621 30967,Award Winning,Fantasy,Horror,Supernatural,,https://cdn.myanimelist.net/images/anime/7/7479l.jpg
12225,2004-04-23,,6.85,2657,white,ova,1,pg_13,Galaxy Angel S,False,653,Comedy,Sci-Fi,,,,https://cdn.myanimelist.net/images/anime/12/34441l.jpg
48702,2022-04-09,,7.84,84623,white,tv,11,pg_13,Dance Dance Danseur,False,,Drama,Performing Arts,Seinen,,,https://cdn.myanimelist.net/images/anime/1571/121381l.jpg
2259,2001-03-05,,6.78,4809,white,tv,51,pg,Dr. Rin ni Kiitemite!,False,,Comedy,Fantasy,Romance,School,Shoujo,https://cdn.myanimelist.net/images/anime/1279/96440l.jpg
37249,2018-02-02,,4.71,793,white,ona,1,g,DC Super Heroes vs Taka no Tsumedan Promotion Eizou,False,35219,Comedy,Parody,Super Power,,,https://cdn.myanimelist.net/images/anime/1334/90401l.jpg
33021,2016-04-03,,4.3,13106,white,tv,12,pg_13,Ragnastrike Angels,False,,Action,,,,,https://cdn.myanimelist.net/images/anime/2/79268l.jpg
9944,2010-12-28,,6.1,1925,white,ova,9,pg,Hime Gal♥Paradise,False,,Crossdressing,Shoujo,,,,https://cdn.myanimelist.net/images/anime/8/27511l.jpg
12259,1992-07-21,,5.82,892,white,ova,1,pg_13,Mikeneko Holmes no Yuurei Joushu,False,,Comedy,Drama,Mystery,Pets,,https://cdn.myanimelist.net/images/anime/13/34521l.jpg
38390,2019-10-04,,6.76,47779,white,tv,11,pg_13,Outburst Dreamer Boys,False,40465,Comedy,School,,,,https://cdn.myanimelist.net/images/anime/1715/111407l.webp
7273,1985,,5.66,4134,white,movie,1,r+,The Death Lullaby,False,,Avant Garde,Drama,,,,https://cdn.myanimelist.net/images/anime/1676/126492l.webp
57180,2024-01-15,,5.86,4811,white,tv,13,pg_13,Yami Shibai 12,True,55166 59010,Avant Garde,Horror,Supernatural,,,https://cdn.myanimelist.net/images/anime/1187/139674l.jpg
34798,2018-01-04,,8.27,495719,white,tv,12,pg_13,Laid-Back Camp,False,37341 38474 38475 38476,CGDCT,Iyashikei,Slice of Life,,,https://cdn.myanimelist.net/images/anime/4/89877l.jpg
12281,2012-07-08,,6.95,29299,white,tv,12,pg_13,Lagrange: The Flower of Rin-ne Season 2,True,13727 18639,Action,Comedy,Mecha,Sci-Fi,,https://cdn.myanimelist.net/images/anime/4/39321l.jpg
7285,2009-09-09,,6.55,1818,white,movie,1,g,Galaxy Express 999: Beyond the Diamond Ring,False,1491,Adventure,Drama,Sci-Fi,,,https://cdn.myanimelist.net/images/anime/4/17336l.jpg
50315,2022-12-20,,6.18,36328,white,ona,1,pg_13,The Seven Deadly Sins: Grudge of Edinburgh,False,41491 53911,Action,Adventure,Fantasy,Shounen,,https://cdn.myanimelist.net/images/anime/1343/131784l.jpg
12291,2012-04-06,,7.47,322001,white,tv,12,pg_13,Place to Place,False,16273,Comedy,Gag Humor,Romance,School,,https://cdn.myanimelist.net/images/anime/5/46489l.jpg
12293,2012-07-06,,6.92,392811,white,tv,13,pg_13,Campione!,False,,Action,Comedy,Ecchi,Fantasy,Harem,https://cdn.myanimelist.net/images/anime/13/75662l.webp
16528,2013-06-08,,7.39,145264,white,movie,1,pg_13,Hal,False,,Drama,Romance,Sci-Fi,,,https://cdn.myanimelist.net/images/anime/6/46549l.jpg
2452,1982-07-03,,7.08,11932,white,movie,1,r+,Space Adventure Cobra: The Movie,False,2451,Action,Adult Cast,Adventure,Sci-Fi,Shounen,https://cdn.myanimelist.net/images/anime/13/42525l.jpg
12347,1995-12-21,,6.49,4739,white,ova,5,r+,Dirty Pair Flash 3,True,12343,Action,Adventure,Comedy,Ecchi,Sci-Fi,https://cdn.myanimelist.net/images/anime/8/35247l.webp
2662,1981-03-14,,6.94,5598,white,movie,1,pg,"Doraemon the Movie: The Records of Nobita, Spaceblazer",False,2471 6930,Adventure,Comedy,Fantasy,Kids,Shounen,https://cdn.myanimelist.net/images/anime/8/72406l.jpg
48589,2021-03-26,,5.64,412,white,ona,1,pg_13,Ryuusatsu no Kyoukotsu,False,48575 48576 48577,Fantasy,,,,,https://cdn.myanimelist.net/images/anime/1898/113813l.jpg
2455,2005-08-26,,5.4,1544,white,ova,2,r,Prayers,False,,Sci-Fi,,,,,https://cdn.myanimelist.net/images/anime/6/2894l.jpg
12355,2012-07-21,,8.57,817496,white,movie,1,pg_13,Wolf Children,False,37418,Award Winning,Childcare,Fantasy,Slice of Life,,https://cdn.myanimelist.net/images/anime/9/35721l.jpg
46095,2021-04-03,,8.4,541320,white,tv,13,r,Vivy -Fluorite Eye's Song-,False,49241 49681,Action,Music,Sci-Fi,Suspense,Time Travel,https://cdn.myanimelist.net/images/anime/1637/115052l.jpg
12365,2012-10-06,,8.53,331563,white,tv,25,pg_13,Bakuman. Season 3,True,10030 15711 23361,Comedy,Drama,Otaku Culture,Romance,Shounen,https://cdn.myanimelist.net/images/anime/6/41845l.jpg
12367,2012-04-13,,6.13,45346,white,tv,12,pg_13,Shining Hearts: Shiawase no Pan,False,2031 15505 15769,Action,Fantasy,Gourmet,Isekai,Workplace,https://cdn.myanimelist.net/images/anime/5/38329l.jpg
12403,2012-07-03,,7.81,187565,white,tv,12,pg_13,YuruYuri: Happy Go Lily ♪♪,True,10495 23225,CGDCT,Comedy,Gag Humor,Girls Love,School,https://cdn.myanimelist.net/images/anime/8/75174l.jpg
19959,1977-04-30,,5.84,971,white,tv,48,pg,Barbapapa (1977),True,2823 2824 2824,Comedy,Fantasy,Kids,,,https://cdn.myanimelist.net/images/anime/3/53233l.jpg
12413,2012-04-11,,7.8,366697,white,tv,12,r+,Jormungand,False,13331 15735,Action,Adult Cast,Adventure,Military,Organized Crime,https://cdn.myanimelist.net/images/anime/11/73280l.jpg
12431,2012-04-01,,8.49,195641,white,tv,99,pg_13,Space Brothers,True,13479 17573 22583 53938,Adult Cast,Comedy,Seinen,Space,Workplace,https://cdn.myanimelist.net/images/anime/1290/135694l.webp
12433,2011-12-11,,6.04,5315,white,ona,1,r,Zero Escape: VLR prologue,False,,Mystery,,,,,https://cdn.myanimelist.net/images/anime/8/34929l.jpg
36132,2017-07-29,,4.98,453,white,ona,1,g,Taka no Tsume: Tokyo Comic Con 2017 no Ouendan ni Shuunin Kettei!,False,35219,Comedy,Parody,,,,https://cdn.myanimelist.net/images/anime/9/87301l.jpg
12437,2012-02-15,,6.39,14189,white,ova,1,pg_13,Yuri Seijin Naoko-san (2012),False,9608,Comedy,Girls Love,,,,https://cdn.myanimelist.net/images/anime/12/75497l.jpg
12445,2012-04-09,,7.82,405718,white,tv,12,r,Dusk Maiden of Amnesia,False,14189,Horror,Mystery,Romance,School,Shounen,https://cdn.myanimelist.net/images/anime/12/64435l.webp
12451,2011-12-29,,5.46,604,white,ova,1,pg_13,Gattai Robot Atranger,False,,Mecha,,,,,https://cdn.myanimelist.net/images/anime/8/61401l.jpg
12455,1993,,6.51,10152,white,ova,4,pg_13,Yuu☆Yuu☆Hakusho: Mu Mu Hakusho - Nightmare Hakusho,False,392,Comedy,,,,,https://cdn.myanimelist.net/images/anime/10/34985l.webp
12461,2012-04-01,,6.7,113525,white,tv,13,pg_13,Hiiro no Kakera: The Tamayori Princess Saga,False,14645 16928,Fantasy,Josei,Reverse Harem,Romance,,https://cdn.myanimelist.net/images/anime/3/36925l.jpg
12467,2012-04-08,,7.23,321015,white,tv,13,pg_13,Mysterious Girlfriend X,False,13093,Romance,School,Seinen,,,https://cdn.myanimelist.net/images/anime/3/75205l.jpg
12471,2012-04-13,,6.65,96933,white,tv,24,pg_13,Eureka Seven AO,True,237 14875 15979 34776,Action,Adventure,Drama,Mecha,Sci-Fi,https://cdn.myanimelist.net/images/anime/11/36313l.jpg
12477,2013-11-09,,7.94,292177,white,movie,1,pg_13,Patema Inverted,False,13429,Adventure,Award Winning,Sci-Fi,,,https://cdn.myanimelist.net/images/anime/12/52415l.jpg
12487,2012-07-08,,7.47,83816,white,tv,13,r+,Horizon in the Middle of Nowhere II,True,10456 22113 38046,Action,Fantasy,Sci-Fi,,,https://cdn.myanimelist.net/images/anime/6/38227l.webp
4854,1989-06-01,,6.22,3161,white,ova,6,r,Fuuma no Kojirou: Yasha-hen,False,4855,Action,Fantasy,Martial Arts,Shounen,,https://cdn.myanimelist.net/images/anime/10/30871l.jpg
3615,2008-04-07,,6.79,37928,white,tv,13,pg_13,Neo Angelique Abyss,False,2534 4662,Comedy,Fantasy,Josei,Reverse Harem,Romance,https://cdn.myanimelist.net/images/anime/3/20960l.webp
12499,2012-04-14,,6.8,5958,white,movie,1,g,Crayon Shin-chan Movie 20: Arashi wo Yobu! Ora to Uchuu no Princess,True,966 10116 17113,Comedy,Seinen,,,,https://cdn.myanimelist.net/images/anime/1474/94869l.jpg
